Category,Item,Price
FRENCH FRIES,"FRIES (SALTED,PERI PERI, MEXICAN, CHEESY)",90/99/99/119
FRENCH FRIES,FRIES LOADED WITH CHICKEN,240
FRENCH FRIES,FRIES LOADED WITH PANEER,240
FRENCH FRIES,DEATH BY CHEESE FRIES (KILLS 4),250
FRENCH FRIES,"POTATO WEDGES (SALTED, SPICY, CHEESY)",140/160/160
EGG DISHES,CHEESE SPRED OMELETTE,60
EGG DISHES,MOZZERELLA CHEESE OMELETTE,120
EGG DISHES,CHICKEN OMELETTE,120
EGG DISHES,CHICKEN CHEESE OMELETTE,140
EGG DISHES,CHICKEN BREAD OMELETTE,140
EGG DISHES,FISH BREAD OMELETTE,160
MOMOS (6PCS),VEG MOMO,120
MOMOS (6PCS),PANEER MOMO,140
MOMOS (6PCS),CHICKEN MOMO,140
MOMOS (6PCS),CHEESE CORN MOMO,160
MOMOS (6PCS),CHICKEN CHEESE MOMO,160
SAMOSA (4PCS),CORN SAMOSA,90
SAMOSA (4PCS),PANEER SAMOSA,90
SAMOSA (4PCS),CHICKEN SAMOSA,90
VEG STARTERS,VEG STUFFED ROLL,140
VEG STARTERS,PIZZA POCKET,140
VEG STARTERS,CHILLY POPPERS,140
VEG STARTERS,POTATO KIEVES,140
VEG STARTERS,CHEESY NUGGETS,140
VEG STARTERS,PANNER STUFFED ROLL,160
VEG STARTERS,NACHOS (WITH CHEESE DIP),120
VEG STARTERS,GARLIC BREAD,120
VEG STARTERS,CHEESE GARLIC BREAD,160
CHICKEN STARTERS,CHICKEN NUGGETS,140
CHICKEN STARTERS,CHICKEN POPCORN,160
CHICKEN STARTERS,CHICKEN STRIPS,160
CHICKEN STARTERS,CHICKEN FRIES,160
CHICKEN STARTERS,CHICKEN CHEESE BALLS,160
CHICKEN STARTERS,NUDE FRIED WINGS (4PCS),180
CHICKEN STARTERS,PERI PERI WINGS (4PCS),180
CHICKEN STARTERS,HONEY GARLIC WINGS (4PCS),190
CHICKEN STARTERS,HOT AND SPICY WINGS (4PCS),180
CHICKEN STARTERS,BBQ WINGS (4PCS),190
SEAFOOD STARTERS,FISH FINGERS (5PCS),180
SEAFOOD STARTERS,FISH POPPERS,180
SEAFOOD STARTERS,FISH LOLLIPOP (5PCS),180
SEAFOOD STARTERS,CRAB LOLLIPOP (5PCS),180
SEAFOOD STARTERS,FISH FRIES,180
MAGGI,VEGGIES MAGGI,90
MAGGI,CHEESE MAGGI,120
MAGGI,PANEER MAGGI,140
MAGGI,PANEER CHEESE MAGGI,160
MAGGI,EGG MAGGI,120
MAGGI,CHICKEN MAGGI,140
MAGGI,CHICKEN CHEESE MAGGI,160
TACOS (GRILLED),ALOO TIKKI TACO,160
TACOS (GRILLED),TANDOORI PANEER TACO,190
TACOS (GRILLED),EGGILICIOUS TACO,160
TACOS (GRILLED),TANDOORI CHICKEN TACO,190
SIP & BITE (COMBO),MOJTIO & FRIES,199
SIP & BITE (COMBO),MOJITO & MOMO,259
SIP & BITE (COMBO),MOJITO & NUGGETS,259
SIP & BITE (COMBO),MOJITO & NACHOS,259
SIP & BITE (COMBO),MOJITO & CHICKBITES,259
BURGERS (WITH FRIES & DIP),ALOO TIKKA BURGER,140
