Category,Item,Price
Hair Styling,Hair Cut,
Hair Styling,Ironing,
Hair Styling,Global Colouring,
Hair Styling,Blow Dry,
Hair Styling,Root Touch Up,
Hair Styling,Shampoo & Conditioning,
Hair Styling,Head Massage,
Hair Styling,Roller Setting,
Hair Styling,Oiling,
Make Up,Party Make Up,
Make Up,Engagement Make Up,
Make Up,Bridal & Reception Make Up,
Make Up,Base Make Up,
Make Up,Eye Make Up,
Hair Texture,Rebonding,
Hair Texture,Perming,
Hair Texture,Keratin,
Hair Texture,Colour Protection,
Hair Texture,Smoothening,
Hair Treatments,Spa Treatments,
Hair Treatments,Volumizing,
Hair Treatments,Advanced Hair Moisturising,
Hair Treatments,Scalp Treatments,
